objectid,incident_number,call_type,call_time,race,gender,age,stop_type,stop_outcome,veh_state,count_tickets,count_warnings,search,search_type,contraband,viol_dui,arrest
66,21BU018473,Traffic,2021/11/02 06:54:00+00,White,Female - F,24.0,M = Moving violation,5,OR,0,1,0,NS = No search,0,0,none
230,21BU001240,Traffic,2021/01/31 13:15:00+00,White,Female - F,57.0,M = Moving violation,4,NJ,1,0,0,NS = No search,0,0,none
271,21BU001300,Traffic,2021/02/02 00:27:00+00,White,Female - F,20.0,V = Vehicle Equipment,5,NJ,0,1,0,NS = No search,0,0,none
400,21BU011269,Traffic,2021/07/22 09:49:00+00,White,Female - F,33.0,V = Vehicle Equipment,5,VT,0,1,0,NS = No search,0,0,none
411,21BU012112,Traffic,2021/08/02 20:28:00+00,White,Female - F,24.0,V = Vehicle Equipment,5,VT,0,1,0,NS = No search,0,0,none
421,21BU001083,Traffic,2021/01/27 22:53:00+00,White,Female - F,27.0,V = Vehicle Equipment,5,VT,0,1,0,NS = No search,0,0,none
503,21BU008841,Traffic,2021/06/15 22:41:00+00,White,Female - F,49.0,M = Moving violation,4,VT,1,0,0,NS = No search,0,0,none
514,21BU018961,Traffic,2021/11/10 09:32:00+00,White,Female - F,20.0,M = Moving violation,5,NJ,0,1,0,NS = No search,0,0,none
627,21BU004580,Traffic,2021/04/09 21:12:00+00,White,Female - F,22.0,V = Vehicle Equipment,5,VT,0,1,0,NS = No search,0,0,none
678,21BU016581,Traffic,2021/10/03 17:59:00+00,White,Female - F,30.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
699,21BU019923,Traffic,2021/11/30 10:39:00+00,White,Female - F,34.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
700,21BU020689,Traffic,2021/12/14 08:38:00+00,White,Female - F,66.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
711,21BU003290,Traffic,2021/03/17 08:45:00+00,White,Female - F,22.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
947,21BU010596,Traffic,2021/07/12 08:42:00+00,White,Female - F,21.0,M = Moving violation,5,RI,0,1,0,NS = No search,0,0,none
1074,21BU020592,Traffic,2021/12/12 19:07:00+00,White,Female - F,27.0,M = Moving violation,5,TX,0,1,0,NS = No search,0,0,none
1088,21BU005314,Traffic,2021/04/23 11:01:00+00,White,Female - F,68.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
1136,21BU003877,Traffic,2021/03/27 20:04:00+00,White,Female - F,63.0,M = Moving violation,5,TN,0,1,0,NS = No search,0,0,none
1205,21BU007416,Traffic,2021/05/26 15:13:00+00,White,Female - F,50.0,M = Moving violation,5,CA,0,1,0,NS = No search,0,0,none
1474,21BU009978,Traffic,2021/07/03 12:19:00+00,Black,Female - F,17.0,M = Moving violation,4,PA,1,0,0,NS = No search,0,0,none
1601,21BU002155,Traffic,2021/02/21 00:17:00+00,White,Female - F,23.0,V = Vehicle Equipment,5,NY,0,1,0,NS = No search,0,0,none
1609,21BU016035,Traffic,2021/09/25 13:31:00+00,White,Female - F,18.0,V = Vehicle Equipment,5,VT,0,1,0,NS = No search,0,0,none
1619,21BU010598,Traffic,2021/07/12 08:55:00+00,White,Female - F,55.0,M = Moving violation,5,NY,0,1,0,NS = No search,0,0,none
1624,21BU004996,Traffic,2021/04/16 21:10:00+00,White,Female - F,26.0,V = Vehicle Equipment,5,NY,0,1,0,NS = No search,0,0,none
1675,21BU012810,Traffic,2021/08/12 17:54:00+00,White,Female - F,29.0,M = Moving violation,4,VT,1,0,0,NS = No search,0,0,none
1679,21BU018550,Traffic,2021/11/03 07:42:00+00,White,Female - F,64.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
1685,21BU018110,Traffic,2021/10/26 14:50:00+00,White,Female - F,19.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
1687,21BU018018,Traffic,2021/10/25 08:07:00+00,White,Female - F,23.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
1694,21BU019915,Traffic,2021/11/30 09:09:00+00,White,Female - F,47.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
1699,21BU010879,Traffic,2021/07/15 21:29:00+00,White,Female - F,19.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
1700,21BU014103,Traffic,2021/08/31 14:27:00+00,White,Female - F,20.0,V = Vehicle Equipment,5,VT,0,1,0,NS = No search,0,0,none
1704,21BU018097,Traffic,2021/10/26 10:51:00+00,White,Female - F,39.0,V = Vehicle Equipment,5,VT,0,1,0,NS = No search,0,0,none
1705,21BU018474,Traffic,2021/11/02 07:05:00+00,White,Female - F,27.0,M = Moving violation,4,VT,1,0,0,NS = No search,0,0,none
1708,21BU016407,Traffic,2021/09/30 20:50:00+00,White,Female - F,27.0,M = Moving violation,4,VT,1,0,0,NS = No search,0,0,none
1737,21BU011453,Traffic,2021/07/24 14:40:00+00,White,Female - F,20.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
1738,21BU001893,Traffic,2021/02/15 10:07:00+00,White,Female - F,20.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
1842,21BU001171,Traffic,2021/01/30 00:24:00+00,White,Female - F,24.0,M = Moving violation,5,NY,0,1,0,NS = No search,0,0,none
1861,21BU002374,Traffic,2021/02/25 15:52:00+00,White,Female - F,43.0,M = Moving violation,4,NY,1,0,0,NS = No search,0,0,none
1874,21BU005989,Traffic,2021/05/05 17:01:00+00,White,Female - F,18.0,M = Moving violation,5,NY,0,1,0,NS = No search,0,0,none
1882,21BU001334,Traffic,2021/02/03 01:00:00+00,White,Female - F,23.0,M = Moving violation,5,NY,0,1,0,NS = No search,0,0,none
1934,21BU005295,Traffic,2021/04/23 08:04:00+00,White,Female - F,49.0,M = Moving violation,5,NY,0,1,0,NS = No search,0,0,none
1940,21BU008687,Traffic,2021/06/13 21:29:00+00,Black,Female - F,23.0,E = Externally Generated,3,NC,0,0,0,NS = No search,0,0,none
2018,21BU004727,Traffic,2021/04/12 10:31:00+00,White,Female - F,26.0,M = Moving violation,4,NY,1,0,0,NS = No search,0,0,none
2038,21BU004000,Traffic,2021/03/30 11:14:00+00,White,Female - F,28.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2046,21BU001206,Traffic,2021/01/30 19:05:00+00,Asian,Female - F,51.0,V = Vehicle Equipment,5,VT,0,1,0,NS = No search,0,0,none
2047,21BU003958,Traffic,2021/03/29 18:23:00+00,White,Female - F,51.0,V = Vehicle Equipment,5,VT,0,1,0,NS = No search,0,0,none
2053,21BU018985,Traffic,2021/11/10 12:15:00+00,White,Female - F,21.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2062,21BU011278,Traffic,2021/07/22 11:10:00+00,White,Female - F,21.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2082,21BU001990,Traffic,2021/02/17 14:48:00+00,White,Female - F,59.0,M = Moving violation,4,VT,1,0,0,NS = No search,0,0,none
2085,21BU009994,Traffic,2021/07/03 16:09:00+00,White,Female - F,21.0,M = Moving violation,4,VT,1,0,0,NS = No search,0,0,none
2091,21BU003662,Traffic,2021/03/23 23:37:00+00,White,Female - F,22.0,V = Vehicle Equipment,5,VT,0,1,0,NS = No search,0,0,none
2101,21BU007150,Traffic,2021/05/22 09:58:00+00,White,Female - F,20.0,M = Moving violation,4,VT,1,0,0,NS = No search,0,0,none
2103,21BU003999,Traffic,2021/03/30 10:58:00+00,White,Female - F,19.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2116,21BU020954,Traffic,2021/12/18 14:29:00+00,Hispanic,Female - F,48.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2120,21BU003994,Traffic,2021/03/30 10:32:00+00,White,Female - F,48.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2121,21BU002179,Traffic,2021/02/21 21:31:00+00,White,Female - F,17.0,V = Vehicle Equipment,5,VT,0,1,0,NS = No search,0,0,none
2138,21BU001388,Traffic,2021/02/04 08:29:00+00,White,Female - F,51.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2158,21BU009986,Traffic,2021/07/03 14:14:00+00,Black,Female - F,19.0,M = Moving violation,5,VT,0,2,0,NS = No search,0,0,none
2168,21BU020850,Traffic,2021/12/16 16:13:00+00,White,Female - F,31.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2175,21BU008418,Traffic,2021/06/10 09:58:00+00,White,Female - F,17.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2186,21BU006312,Traffic,2021/05/11 11:44:00+00,White,Female - F,47.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2190,21BU002006,Traffic,2021/02/17 18:44:00+00,White,Female - F,27.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2193,21BU003871,Traffic,2021/03/27 19:22:00+00,White,Female - F,59.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2215,21BU001977,Traffic,2021/02/17 11:35:00+00,White,Female - F,18.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2222,21BU004685,Traffic,2021/04/11 14:52:00+00,Hispanic,Female - F,18.0,M = Moving violation,4,VT,1,0,0,NS = No search,0,0,none
2223,21BU019922,Traffic,2021/11/30 10:29:00+00,Black,Female - F,28.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2234,21BU009540,Traffic,2021/06/27 02:26:00+00,White,Female - F,24.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2248,21BU005404,Traffic,2021/04/24 22:29:00+00,White,Female - F,25.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2249,21BU005021,Traffic,2021/04/17 09:12:00+00,White,Female - F,31.0,M = Moving violation,4,VT,1,0,0,NS = No search,0,0,none
2259,21BU001603,Traffic,2021/02/08 12:20:00+00,White,Female - F,23.0,M = Moving violation,5,NY,0,1,0,NS = No search,0,0,none
2265,21BU000697,Traffic,2021/01/18 00:53:00+00,White,Female - F,26.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2273,21BU003922,Traffic,2021/03/28 23:00:00+00,White,Female - F,23.0,V = Vehicle Equipment,5,VT,0,1,0,NS = No search,0,0,none
2280,21BU018567,Traffic,2021/11/03 11:28:00+00,White,Female - F,40.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2284,21BU004712,Traffic,2021/04/12 08:07:00+00,White,Female - F,22.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2296,21BU000760,Traffic,2021/01/19 23:40:00+00,White,Female - F,26.0,M = Moving violation,4,VT,1,1,0,NS = No search,0,0,none
2317,21BU002342,Traffic,2021/02/25 08:27:00+00,White,Female - F,55.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2347,21BU004328,Traffic,2021/04/06 00:59:00+00,White,Female - F,20.0,V = Vehicle Equipment,5,VT,0,1,0,NS = No search,0,0,none
2363,21BU004564,Traffic,2021/04/09 17:50:00+00,White,Female - F,29.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2364,21BU005014,Traffic,2021/04/17 08:20:00+00,White,Female - F,26.0,M = Moving violation,4,VT,1,0,0,NS = No search,0,0,none
2368,21BU013868,Traffic,2021/08/28 10:21:00+00,White,Female - F,24.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2369,21BU005748,Traffic,2021/05/01 07:01:00+00,White,Female - F,34.0,I = Investigatory,3,VT,0,0,0,NS = No search,0,0,none
2372,21BU013829,Traffic,2021/08/27 18:44:00+00,White,Female - F,26.0,M = Moving violation,4,VT,1,0,0,NS = No search,0,0,none
2395,21BU009773,Traffic,2021/06/30 12:22:00+00,White,Female - F,33.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2396,21BU018690,Traffic,2021/11/05 11:23:00+00,White,Female - F,33.0,M = Moving violation,4,VT,1,0,0,NS = No search,0,0,none
2427,21BU001847,Traffic,2021/02/13 20:18:00+00,White,Female - F,17.0,V = Vehicle Equipment,5,VT,0,1,0,NS = No search,0,0,none
2501,21BU008408,Traffic,2021/06/10 08:32:00+00,White,Female - F,59.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2510,21BU004563,Traffic,2021/04/09 17:44:00+00,White,Female - F,61.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2514,21BU018472,Traffic,2021/11/02 06:38:00+00,White,Female - F,27.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2522,21BU003995,Traffic,2021/03/30 10:47:00+00,White,Female - F,47.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2526,21BU003363,Traffic,2021/03/18 11:38:00+00,White,Female - F,18.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2533,21BU002109,Traffic,2021/02/20 03:42:00+00,White,Female - F,43.0,V = Vehicle Equipment,5,VT,0,1,0,NS = No search,0,0,none
2546,21BU001580,Traffic,2021/02/08 06:20:00+00,White,Female - F,53.0,V = Vehicle Equipment,5,VT,0,1,0,NS = No search,0,0,none
2573,21BU009609,Traffic,2021/06/28 07:23:00+00,White,Female - F,54.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2606,21BU004408,Traffic,2021/04/07 12:31:00+00,White,Female - F,18.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2611,21BU001250,Traffic,2021/01/31 19:07:00+00,Asian,Female - F,25.0,V = Vehicle Equipment,5,VT,0,1,0,NS = No search,0,0,none
2625,21BU001586,Traffic,2021/02/08 08:16:00+00,Asian,Female - F,32.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2649,21BU007412,Traffic,2021/05/26 14:23:00+00,White,Female - F,55.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2666,21BU003291,Traffic,2021/03/17 09:06:00+00,White,Female - F,65.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2670,21BU003301,Traffic,2021/03/17 12:04:00+00,White,Female - F,21.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2671,21BU009991,Traffic,2021/07/03 15:15:00+00,White,Female - F,21.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2673,21BU004709,Traffic,2021/04/12 07:34:00+00,White,Female - F,47.0,M = Moving violation,4,VT,1,0,0,NS = No search,0,0,none
2728,21BU019049,Traffic,2021/11/11 14:30:00+00,White,Female - F,83.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2740,21BU000435,Traffic,2021/01/11 21:27:00+00,White,Female - F,35.0,V = Vehicle Equipment,3,VT,0,1,0,NS = No search,0,0,none
2767,21BU003181,Traffic,2021/03/14 03:09:00+00,White,Female - F,18.0,M = Moving violation,5,NC,0,1,0,NS = No search,0,0,none
2781,21BU012699,Traffic,2021/08/11 10:01:00+00,White,Female - F,67.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2786,21BU018674,Traffic,2021/11/05 08:50:00+00,White,Female - F,27.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2814,21BU018100,Traffic,2021/10/26 11:31:00+00,White,Female - F,40.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2821,21BU011823,Traffic,2021/07/29 20:25:00+00,White,Female - F,22.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2912,21BU001390,Traffic,2021/02/04 08:43:00+00,Asian,Female - F,21.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2918,21BU004384,Traffic,2021/04/07 07:37:00+00,White,Female - F,30.0,M = Moving violation,4,VT,1,0,0,NS = No search,0,0,none
2973,21BU013333,Traffic,2021/08/20 10:16:00+00,White,Female - F,45.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
2981,21BU005013,Traffic,2021/04/17 08:06:00+00,White,Female - F,60.0,M = Moving violation,4,VT,1,0,0,NS = No search,0,0,none
3023,21BU006306,Traffic,2021/05/11 10:52:00+00,White,Female - F,18.0,M = Moving violation,4,VT,1,0,0,NS = No search,0,0,none
3045,21BU001425,Traffic,2021/02/04 15:19:00+00,White,Female - F,58.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
3059,21BU005242,Traffic,2021/04/22 04:32:00+00,White,Female - F,38.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
3064,21BU001621,Traffic,2021/02/08 16:35:00+00,White,Female - F,53.0,M = Moving violation,4,VT,2,0,0,NS = No search,0,0,none
3066,21BU007351,Traffic,2021/05/25 11:45:00+00,White,Female - F,25.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
3078,21BU002519,Traffic,2021/03/01 09:44:00+00,Black,Female - F,23.0,M = Moving violation,5,OH,0,1,0,NS = No search,0,0,none
3081,21BU001005,Traffic,2021/01/25 19:27:00+00,Black,Female - F,28.0,V = Vehicle Equipment,5,VT,0,1,0,NS = No search,0,0,none
3093,21BU003870,Traffic,2021/03/27 18:48:00+00,White,Female - F,23.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
3132,21BU005034,Traffic,2021/04/17 12:26:00+00,White,Female - F,31.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
3242,21BU006299,Traffic,2021/05/11 09:41:00+00,White,Female - F,39.0,M = Moving violation,4,VT,1,0,0,NS = No search,0,0,none
3268,21BU010609,Traffic,2021/07/12 10:15:00+00,White,Female - F,83.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
3274,21BU012591,Traffic,2021/08/09 19:27:00+00,White,Female - F,53.0,V = Vehicle Equipment,5,VT,0,1,0,NS = No search,0,0,none
3293,21BU005971,Traffic,2021/05/05 13:25:00+00,White,Female - F,59.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
3430,21BU001733,Traffic,2021/02/10 21:52:00+00,White,Female - F,18.0,V = Vehicle Equipment,5,VT,0,1,0,NS = No search,0,0,none
3454,21BU001887,Traffic,2021/02/15 08:25:00+00,White,Female - F,19.0,M = Moving violation,4,VT,1,0,0,NS = No search,0,0,none
3483,21BU008107,Traffic,2021/06/06 14:19:00+00,White,Female - F,35.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
3519,21BU001072,Traffic,2021/01/27 15:35:00+00,White,Female - F,17.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
3527,21BU002049,Traffic,2021/02/18 15:29:00+00,White,Female - F,45.0,M = Moving violation,4,FL,1,0,0,NS = No search,0,0,none
3548,21BU005035,Traffic,2021/04/17 12:38:00+00,Asian,Female - F,52.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
3563,21BU002346,Traffic,2021/02/25 09:14:00+00,White,Female - F,44.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
3618,21BU008977,Traffic,2021/06/18 14:43:00+00,White,Female - F,55.0,M = Moving violation,4,VT,1,0,0,NS = No search,0,0,none
3625,21BU006310,Traffic,2021/05/11 11:31:00+00,White,Female - F,83.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
3639,21BU002949,Traffic,2021/03/09 21:30:00+00,White,Female - F,25.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
3660,21BU018092,Traffic,2021/10/26 09:39:00+00,White,Female - F,19.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
3668,21BU003350,Traffic,2021/03/18 09:03:00+00,White,Female - F,67.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
3724,21BU021228,Traffic,2021/12/24 17:58:00+00,White,Female - F,74.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
3783,21BU002195,Traffic,2021/02/22 08:41:00+00,White,Female - F,29.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
3893,21BU003988,Traffic,2021/03/30 09:58:00+00,White,Female - F,26.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
3928,21BU004873,Traffic,2021/04/14 15:57:00+00,White,Female - F,45.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
3956,21BU001412,Traffic,2021/02/04 12:24:00+00,White,Female - F,45.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
4038,21BU005304,Traffic,2021/04/23 09:08:00+00,Asian,Female - F,46.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
4043,21BU018111,Traffic,2021/10/26 15:04:00+00,White,Female - F,26.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
4180,21BU001216,Traffic,2021/01/30 21:37:00+00,White,Female - F,23.0,V = Vehicle Equipment,5,VT,0,1,0,NS = No search,0,0,none
4322,21BU002108,Traffic,2021/02/20 03:07:00+00,Asian,Female - F,21.0,V = Vehicle Equipment,5,VT,0,1,0,NS = No search,0,0,none
4367,21BU006443,Traffic,2021/05/13 12:39:00+00,White,Female - F,46.0,M = Moving violation,4,VT,1,0,0,NS = No search,0,0,none
4533,21BU020036,Traffic,2021/12/02 10:13:00+00,White,Female - F,68.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
4592,21BU003124,Traffic,2021/03/13 00:15:00+00,White,Female - F,18.0,V = Vehicle Equipment,5,VT,0,1,0,NS = No search,0,0,none
4614,21BU016436,Traffic,2021/10/01 10:16:00+00,White,Female - F,33.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
4639,21BU002636,Traffic,2021/03/03 10:36:00+00,White,Female - F,61.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
4689,21BU004389,Traffic,2021/04/07 08:57:00+00,White,Female - F,21.0,M = Moving violation,4,CT,1,0,0,NS = No search,0,0,none
4739,21BU002341,Traffic,2021/02/25 08:17:00+00,White,Female - F,40.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
4740,21BU003286,Traffic,2021/03/17 07:54:00+00,White,Female - F,40.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
4837,21BU020517,Traffic,2021/12/11 09:46:00+00,White,Female - F,50.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
5002,21BU000935,Traffic,2021/01/24 10:33:00+00,White,Female - F,52.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
5011,21BU001248,Traffic,2021/01/31 18:45:00+00,White,Female - F,50.0,V = Vehicle Equipment,5,VT,0,1,0,NS = No search,0,0,none
5051,21BU006429,Traffic,2021/05/13 10:41:00+00,White,Female - F,25.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
5075,21BU010613,Traffic,2021/07/12 11:10:00+00,Asian,Female - F,37.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
5109,21BU003238,Traffic,2021/03/15 19:10:00+00,White,Female - F,28.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
5147,21BU001591,Traffic,2021/02/08 09:42:00+00,White,Female - F,74.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
5255,21BU006304,Traffic,2021/05/11 10:28:00+00,White,Female - F,28.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
5267,21BU007736,Traffic,2021/06/01 07:55:00+00,White,Female - F,59.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
5307,21BU003642,Traffic,2021/03/23 15:48:00+00,White,Female - F,54.0,V = Vehicle Equipment,5,VT,0,1,0,NS = No search,0,0,none
5466,21BU006695,Traffic,2021/05/16 21:49:00+00,White,Female - F,17.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
5528,21BU006434,Traffic,2021/05/13 11:38:00+00,White,Female - F,77.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
5622,21BU010627,Traffic,2021/07/12 11:39:00+00,Black,Female - F,22.0,M = Moving violation,4,VT,1,0,0,NS = No search,0,0,none
5641,21BU001383,Traffic,2021/02/04 07:35:00+00,White,Female - F,51.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
6006,21BU016857,Traffic,2021/10/07 17:50:00+00,White,Female - F,23.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
6037,21BU005302,Traffic,2021/04/23 08:55:00+00,White,Female - F,30.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
6105,21BU005031,Traffic,2021/04/17 11:29:00+00,White,Female - F,58.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
6236,21BU004734,Traffic,2021/04/12 11:50:00+00,White,Female - F,46.0,M = Moving violation,4,VT,1,0,0,NS = No search,0,0,none
6613,21BU009416,Traffic,2021/06/25 05:14:00+00,White,Female - F,20.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
7263,21BU001891,Traffic,2021/02/15 09:29:00+00,White,Female - F,34.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
7266,21BU005867,Traffic,2021/05/03 12:07:00+00,White,Female - F,22.0,V = Vehicle Equipment,5,VT,0,1,0,NS = No search,0,0,none
7342,21BU002124,Traffic,2021/02/20 11:15:00+00,White,Female - F,71.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
7420,21BU002116,Traffic,2021/02/20 08:40:00+00,White,Female - F,63.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
7472,21BU003340,Traffic,2021/03/18 00:03:00+00,Asian,Female - F,41.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
7708,21BU004465,Traffic,2021/04/08 11:02:00+00,White,Female - F,48.0,M = Moving violation,4,VT,1,0,0,NS = No search,0,0,none
7759,21BU004393,Traffic,2021/04/07 09:32:00+00,White,Female - F,24.0,M = Moving violation,4,VT,1,0,0,NS = No search,0,0,none
7955,21BU003351,Traffic,2021/03/18 09:44:00+00,White,Female - F,27.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
8114,21BU004395,Traffic,2021/04/07 09:51:00+00,White,Female - F,30.0,M = Moving violation,4,VT,1,0,0,NS = No search,0,0,none
8993,21BU006316,Traffic,2021/05/11 13:12:00+00,White,Female - F,55.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
9980,21BU004743,Traffic,2021/04/12 14:17:00+00,White,Female - F,44.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
10349,21BU001889,Traffic,2021/02/15 09:03:00+00,White,Female - F,73.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
10399,21BU008430,Traffic,2021/06/10 12:01:00+00,White,Female - F,54.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
10644,21BU010629,Traffic,2021/07/12 11:53:00+00,White,Female - F,69.0,M = Moving violation,4,VT,1,0,0,NS = No search,0,0,none
10884,21BU018673,Traffic,2021/11/05 07:53:00+00,White,Female - F,33.0,M = Moving violation,5,NY,0,1,0,NS = No search,0,0,none
10974,21BU021004,Traffic,2021/12/19 18:14:00+00,White,Female - F,31.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
11134,21BU006116,Traffic,2021/05/07 23:41:00+00,White,Female - F,43.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
11485,21BU018477,Traffic,2021/11/02 07:31:00+00,White,Female - F,21.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
12163,21BU016272,Traffic,2021/09/29 10:11:00+00,White,Female - F,55.0,M = Moving violation,5,VT,0,1,0,NS = No search,0,0,none
12813,21BU018686,Traffic,2021/11/05 10:57:00+00,White,Female - F,41.0,M = Moving violation,4,VT,1,0,0,NS = No search,0,0,none
12927,21BU001375,Traffic,2021/02/04 00:00:00+00,White,Female - F,18.0,V = Vehicle Equipment,5,VT,0,1,0,NS = No search,0,0,none
13264,21BU010948,Traffic,2021/07/16 19:37:00+00,White,Female - F,21.0,M = Moving violation,5,NJ,0,1,0,NS = No search,0,0,none
